,FID,FID_1,FID_,TA_DATE,TRACKID,Name,Shape_Leng,Distance,LATITUDE,LONGITUDE,TA_DATE2,ZTIME,LOCALTIME,ORBIT_NAME,FLAG_TRUE_
26,26,81044,197590,Mon Sep  4 00:58:08 2017,SENTINEL-2A_40697,RELATIVE ORBIT 59,1.26315699586,0.00756665,-73.51850129999998,112.5630035,2017-09-04 00:58:08,8,2017-09-04 08:58:08,R059,1
27,27,83399,203300,Mon Sep  4 02:36:49 2017,SENTINEL-2A_40697,RELATIVE ORBIT 60,0.820031294726,0.00471412,-67.1173019,97.5197983,2017-09-04 02:36:49,7,2017-09-04 09:36:49,R060,1
28,28,85770,209221,Mon Sep  4 04:18:37 2017,SENTINEL-2A_40697,RELATIVE ORBIT 61,0.9922499883820001,0.00910589,-70.6768036,67.5695038,2017-09-04 04:18:37,5,2017-09-04 09:18:37,R061,1
29,29,88129,215054,Mon Sep  4 06:00:09 2017,SENTINEL-2A_40697,RELATIVE ORBIT 62,1.20669584331,0.01102851,-73.27449799999998,37.5775986,2017-09-04 06:00:09,3,2017-09-04 09:00:09,R062,1
30,30,90478,220796,Mon Sep  4 07:38:46 2017,SENTINEL-2A_40697,RELATIVE ORBIT 63,0.820032038397,0.0055494,-66.6335983,22.5347004,2017-09-04 07:38:46,2,2017-09-04 09:38:46,R063,1
31,31,92844,226691,Mon Sep  4 09:20:37 2017,SENTINEL-2A_40697,RELATIVE ORBIT 64,0.960242347642,0.00656645,-70.3682022,-7.47084,2017-09-04 09:20:37,0,2017-09-04 09:20:37,R064,1
32,32,95183,232541,Mon Sep  4 11:02:10 2017,SENTINEL-2A_40697,RELATIVE ORBIT 65,1.20669493599,0.00846341,-73.0282974,-37.4216003,2017-09-04 11:02:10,-2,2017-09-04 09:02:10,R065,1
33,33,97528,238154,Mon Sep  4 12:40:43 2017,SENTINEL-2A_40697,RELATIVE ORBIT 66,0.80331942482,0.0060188,-66.1475983,-52.4698982,2017-09-04 12:40:43,-3,2017-09-04 09:40:43,R066,1
34,34,99902,244074,Mon Sep  4 14:22:36 2017,SENTINEL-2A_40697,RELATIVE ORBIT 67,0.960242347642,0.00871039,-70.004303,-82.4455032,2017-09-04 14:22:36,-5,2017-09-04 09:22:36,R067,1
35,35,102263,249974,Mon Sep  4 16:04:11 2017,SENTINEL-2A_40697,RELATIVE ORBIT 68,1.15532493156,0.01048873,-72.78109739999998,-112.435997,2017-09-04 16:04:11,-7,2017-09-04 09:04:11,R068,1
36,36,104643,255855,Mon Sep  4 17:45:34 2017,SENTINEL-2A_40697,RELATIVE ORBIT 69,1.39331010387,0.01076733,-74.8355026,-142.4290009,2017-09-04 17:45:34,-9,2017-09-04 08:45:34,R069,1
37,37,107017,261527,Mon Sep  4 19:24:35 2017,SENTINEL-2A_40697,RELATIVE ORBIT 70,0.931111400703,0.00847892,-69.638298,-157.4369965,2017-09-04 19:24:35,-10,2017-09-04 09:24:35,R070,1
38,38,116575,284860,Tue Sep  5 02:08:12 2017,SENTINEL-2A_40697,RELATIVE ORBIT 74,1.10859447346,0.0103191,-72.2301025,97.5978012,2017-09-05 02:08:12,7,2017-09-05 09:08:12,R074,1
39,39,119085,290672,Tue Sep  5 03:49:38 2017,SENTINEL-2A_40697,RELATIVE ORBIT 75,1.3251904396699998,0.00825232,-74.457901,67.5177002,2017-09-05 03:49:38,5,2017-09-05 08:49:38,R075,1
40,40,121450,296444,Tue Sep  5 05:28:33 2017,SENTINEL-2A_40697,RELATIVE ORBIT 76,0.904587414074,0.00788439,-68.9029999,52.528801,2017-09-05 05:28:33,4,2017-09-05 09:28:33,R076,1
41,41,123809,302336,Tue Sep  5 07:10:13 2017,SENTINEL-2A_40697,RELATIVE ORBIT 77,1.10859447346,0.00769921,-71.9801025,22.5417995,2017-09-05 07:10:13,2,2017-09-05 09:10:13,R077,1
42,42,126314,308204,Tue Sep  5 08:51:39 2017,SENTINEL-2A_40697,RELATIVE ORBIT 78,1.32518951221,0.01159743,-74.2194977,-7.4063501,2017-09-05 08:51:39,0,2017-09-05 08:51:39,R078,1
43,43,128658,313843,Tue Sep  5 10:30:31 2017,SENTINEL-2A_40697,RELATIVE ORBIT 79,0.880428068581,0.00829926,-68.4791031,-22.4423008,2017-09-05 10:30:31,-1,2017-09-05 09:30:31,R079,1
44,44,131023,319744,Tue Sep  5 12:12:13 2017,SENTINEL-2A_40697,RELATIVE ORBIT 80,1.066088659,0.01025311,-71.67639920000002,-52.4328995,2017-09-05 12:12:13,-3,2017-09-05 09:12:13,R080,1
45,45,133523,325621,Tue Sep  5 13:53:41 2017,SENTINEL-2A_40697,RELATIVE ORBIT 81,1.32518951221,0.00845771,-74.028801,-82.4664001,2017-09-05 13:53:41,-5,2017-09-05 08:53:41,R081,1
46,46,135884,331347,Tue Sep  5 15:32:29 2017,SENTINEL-2A_40697,RELATIVE ORBIT 82,0.8584128841490001,0.00744735,-68.0541,-97.4335022,2017-09-05 15:32:29,-6,2017-09-05 09:32:29,R082,1
47,47,138252,337155,Tue Sep  5 17:14:13 2017,SENTINEL-2A_40697,RELATIVE ORBIT 83,1.0274244830200001,0.00776475,-71.37069700000002,-127.4240036,2017-09-05 17:14:13,-8,2017-09-05 09:14:13,R083,1
48,48,140716,343083,Tue Sep  5 18:55:42 2017,SENTINEL-2A_40697,RELATIVE ORBIT 84,1.26315607813,0.01088314,-73.786499,-157.4190063,2017-09-05 18:55:42,-10,2017-09-05 08:55:42,R084,1
49,49,143075,348807,Tue Sep  5 20:34:27 2017,SENTINEL-2A_40697,RELATIVE ORBIT 85,0.8383413356730001,0.00570595,-67.6269989,-172.4420013,2017-09-05 20:34:27,-11,2017-09-05 09:34:27,R085,1
50,50,150153,366174,Wed Sep  6 01:36:25 2017,SENTINEL-2A_40697,RELATIVE ORBIT 88,0.8383413356730001,0.00572277,-67.1984024,112.5329971,2017-09-06 01:36:25,8,2017-09-06 09:36:25,R088,1
51,51,152522,372072,Wed Sep  6 03:18:13 2017,SENTINEL-2A_40697,RELATIVE ORBIT 89,0.9922499883820001,0.00887858,-70.7552032,82.5495987,2017-09-06 03:18:13,6,2017-09-06 09:18:13,R089,1
52,52,154868,377979,Wed Sep  6 04:59:45 2017,SENTINEL-2A_40697,RELATIVE ORBIT 90,1.20669584331,0.01027067,-73.34860229999998,52.5208015,2017-09-06 04:59:45,4,2017-09-06 08:59:45,R090,1
53,53,157219,383682,Wed Sep  6 06:38:22 2017,SENTINEL-2A_40697,RELATIVE ORBIT 91,0.820032038397,0.00663111,-66.716301,37.5491982,2017-09-06 06:38:22,3,2017-09-06 09:38:22,R091,1
54,54,159590,389517,Wed Sep  6 08:20:13 2017,SENTINEL-2A_40697,RELATIVE ORBIT 92,0.992249142464,0.00805096,-70.4481964,7.5103998,2017-09-06 08:20:13,1,2017-09-06 09:20:13,R092,1
55,55,161930,395390,Wed Sep  6 10:01:46 2017,SENTINEL-2A_40697,RELATIVE ORBIT 93,1.20669584331,0.01013741,-73.10520169999998,-22.4787006,2017-09-06 10:01:46,-1,2017-09-06 09:01:46,R093,1
56,56,164277,401079,Wed Sep  6 11:40:19 2017,SENTINEL-2A_40697,RELATIVE ORBIT 94,0.80331942482,0.00671731,-66.2303009,-37.4519997,2017-09-06 11:40:19,-2,2017-09-06 09:40:19,R094,1
57,57,166649,406971,Wed Sep  6 13:22:12 2017,SENTINEL-2A_40697,RELATIVE ORBIT 95,0.960242347642,0.00934808,-70.0846024,-67.4599991,2017-09-06 13:22:12,-4,2017-09-06 09:22:12,R095,1
58,58,169015,412782,Wed Sep  6 15:03:47 2017,SENTINEL-2A_40697,RELATIVE ORBIT 96,1.15532493156,0.00983672,-72.8582993,-97.4884033,2017-09-06 15:03:47,-6,2017-09-06 09:03:47,R096,1
59,59,171368,418690,Wed Sep  6 16:45:09 2017,SENTINEL-2A_40697,RELATIVE ORBIT 97,1.39331010387,0.01047024,-74.8603973,-127.3909988,2017-09-06 16:45:09,-8,2017-09-06 08:45:09,R097,1
60,60,173737,424468,Wed Sep  6 18:24:11 2017,SENTINEL-2A_40697,RELATIVE ORBIT 98,0.931110582771,0.00797912,-69.7192001,-142.447998,2017-09-06 18:24:11,-9,2017-09-06 09:24:11,R098,1
61,61,176107,430363,Wed Sep  6 20:05:47 2017,SENTINEL-2A_40697,RELATIVE ORBIT 99,1.15532493156,0.00892418,-72.5586014,-172.4089966,2017-09-06 20:05:47,-11,2017-09-06 09:05:47,R099,1
62,62,183289,447754,Thu Sep  7 01:07:48 2017,SENTINEL-2A_40697,RELATIVE ORBIT 102,1.10859405551,0.0099616,-72.3085022,112.5530014,2017-09-07 01:07:48,8,2017-09-07 09:07:48,R102,1
63,63,185797,453605,Thu Sep  7 02:49:13 2017,SENTINEL-2A_40697,RELATIVE ORBIT 103,1.32519081361,0.00751572,-74.4833984,82.5575027,2017-09-07 02:49:13,6,2017-09-07 08:49:13,R103,1
64,64,188166,459265,Thu Sep  7 04:28:09 2017,SENTINEL-2A_40697,RELATIVE ORBIT 104,0.9045868186939999,0.00856469,-68.9838028,67.5258026,2017-09-07 04:28:09,5,2017-09-07 09:28:09,R104,1
65,65,190531,465178,Thu Sep  7 06:09:49 2017,SENTINEL-2A_40697,RELATIVE ORBIT 105,1.10859494001,0.00940031,-72.0580978,37.5024986,2017-09-07 06:09:49,3,2017-09-07 09:09:49,R105,1
66,66,193038,471071,Thu Sep  7 07:51:15 2017,SENTINEL-2A_40697,RELATIVE ORBIT 106,1.32519081361,0.01155162,-74.2939987,7.5136299,2017-09-07 07:51:15,1,2017-09-07 08:51:15,R106,1
67,67,195398,476792,Thu Sep  7 09:30:07 2017,SENTINEL-2A_40697,RELATIVE ORBIT 107,0.880428857292,0.00839502,-68.5606003,-7.44173,2017-09-07 09:30:07,0,2017-09-07 09:30:07,R107,1
68,68,197743,482639,Thu Sep  7 11:11:49 2017,SENTINEL-2A_40697,RELATIVE ORBIT 108,1.066088659,0.01023868,-71.7544022,-37.4670982,2017-09-07 11:11:49,-2,2017-09-07 09:11:49,R108,1
69,69,200251,488447,Thu Sep  7 12:53:16 2017,SENTINEL-2A_40697,RELATIVE ORBIT 109,1.32519081361,0.00933509,-74.05429839999998,-67.4224014,2017-09-07 12:53:16,-4,2017-09-07 08:53:16,R109,1
70,70,202620,494196,Thu Sep  7 14:32:06 2017,SENTINEL-2A_40697,RELATIVE ORBIT 110,0.8584128841490001,0.00624148,-68.1905975,-82.4972,2017-09-07 14:32:06,-5,2017-09-07 09:32:06,R110,1
71,71,204990,500099,Thu Sep  7 16:13:49 2017,SENTINEL-2A_40697,RELATIVE ORBIT 111,1.066088659,0.00722998,-71.4499969,-112.4550018,2017-09-07 16:13:49,-7,2017-09-07 09:13:49,R111,1
72,72,207482,506007,Thu Sep  7 17:55:18 2017,SENTINEL-2A_40697,RELATIVE ORBIT 112,1.26315659867,0.01029822,-73.8623962,-142.4909973,2017-09-07 17:55:18,-9,2017-09-07 08:55:18,R112,1
73,73,209845,511678,Thu Sep  7 19:34:04 2017,SENTINEL-2A_40697,RELATIVE ORBIT 113,0.8584128841490001,0.00647828,-67.7640991,-157.5,2017-09-07 19:34:04,-10,2017-09-07 09:34:04,R113,1
74,74,219309,534939,Fri Sep  8 02:17:49 2017,SENTINEL-2A_40697,RELATIVE ORBIT 117,0.9922486091509999,0.0080442,-70.8354034,97.5255966,2017-09-08 02:17:49,7,2017-09-08 09:17:49,R117,1
